REF_DATE,GEO,unemployment_rate
2020-08,Alberta,31.8
2020-08,Alberta,24.5
2020-08,Alberta,10.2
2020-08,Alberta,10.4
2020-08,Alberta,0.4
2020-08,Alberta,0.4
2020-08,Alberta,0.6
2020-08,Alberta,9.6
2020-08,Alberta,9.8
2020-08,Alberta,0.5
2020-08,Alberta,0.5
2020-08,Alberta,0.6
2020-08,Alberta,12.0
2020-08,Alberta,12.3
2020-08,Alberta,1.0
2020-08,Alberta,0.9
2020-08,Alberta,1.3
2020-08,Alberta,13.5
2020-08,Alberta,12.0
2020-08,Alberta,0.6
2020-08,Alberta,0.6
2020-08,Alberta,0.8
2020-08,Alberta,12.9
2020-08,Alberta,12.1
2020-08,Alberta,0.6
2020-08,Alberta,0.6
2020-08,Alberta,0.8
2020-08,Alberta,28.7
2020-08,Alberta,26.7
2020-08,Alberta,2.4
2020-08,Alberta,2.4
2020-08,Alberta,3.0
2020-08,Alberta,30.8
2020-08,Alberta,24.1
2020-08,Alberta,11.3
2020-08,Alberta,9.6
2020-08,Alberta,0.6
2020-08,Alberta,0.6
2020-08,Alberta,0.7
2020-08,Alberta,11.2
2020-08,Alberta,9.1
2020-08,Alberta,0.7
2020-08,Alberta,0.7
2020-08,Alberta,0.9
2020-08,Alberta,11.4
2020-08,Alberta,11.1
2020-08,Alberta,1.3
2020-08,Alberta,1.2
2020-08,Alberta,1.7
2020-08,Alberta,11.2
2020-08,Alberta,14.0
2020-08,Alberta,0.6
2020-08,Alberta,0.7
2020-08,Alberta,0.8
2020-08,Alberta,12.6
2020-08,Alberta,14.2
2020-08,Alberta,0.6
2020-08,Alberta,0.7
2020-08,Alberta,0.8
2020-08,Alberta,25.7
2020-08,Alberta,28.1
2020-08,Alberta,2.3
2020-08,Alberta,2.6
2020-08,Alberta,2.8
2020-08,Alberta,32.8
2020-08,Alberta,25.0
2020-08,Alberta,8.8
2020-08,Alberta,11.3
2020-08,Alberta,0.6
2020-08,Alberta,0.6
2020-08,Alberta,0.8
2020-08,Alberta,7.8
2020-08,Alberta,10.6
2020-08,Alberta,0.7
2020-08,Alberta,0.7
2020-08,Alberta,0.9
2020-08,Alberta,12.9
2020-08,Alberta,14.1
2020-08,Alberta,1.3
2020-08,Alberta,1.3
2020-08,Alberta,1.7
2020-09,Alberta,12.0
2020-09,Alberta,11.0
2020-09,Alberta,0.4
2020-09,Alberta,0.5
2020-09,Alberta,0.6
2020-09,Alberta,12.1
2020-09,Alberta,11.2
2020-09,Alberta,0.5
2020-09,Alberta,0.5
2020-09,Alberta,0.6
2020-09,Alberta,24.8
2020-09,Alberta,26.2
2020-09,Alberta,1.7
2020-09,Alberta,1.7
2020-09,Alberta,2.1
2020-09,Alberta,28.3
2020-09,Alberta,24.9
2020-09,Alberta,10.0
2020-09,Alberta,8.7
2020-09,Alberta,0.4
2020-09,Alberta,0.4
2020-09,Alberta,0.6
2020-09,Alberta,9.3
2020-09,Alberta,7.9
2020-09,Alberta,0.5
2020-09,Alberta,0.5
2020-09,Alberta,0.6
2020-09,Alberta,12.3
2020-09,Alberta,11.5
2020-09,Alberta,1.0
2020-09,Alberta,0.9
2020-09,Alberta,1.3
2020-09,Alberta,12.7
2020-09,Alberta,11.2
2020-09,Alberta,0.6
2020-09,Alberta,0.6
2020-09,Alberta,0.8
2020-09,Alberta,12.8
2020-09,Alberta,11.2
2020-09,Alberta,0.6
2020-09,Alberta,0.6
2020-09,Alberta,0.8
2020-09,Alberta,23.4
2020-09,Alberta,24.4
2020-09,Alberta,2.4
2020-09,Alberta,2.4
2020-09,Alberta,3.0
2020-09,Alberta,22.2
2020-09,Alberta,25.6
2020-09,Alberta,11.0
2020-09,Alberta,9.2
2020-09,Alberta,0.6
2020-09,Alberta,0.6
2020-09,Alberta,0.7
2020-09,Alberta,10.1
2020-09,Alberta,8.1
2020-09,Alberta,0.7
2020-09,Alberta,0.7
2020-09,Alberta,0.9
2020-09,Alberta,14.1
2020-09,Alberta,12.7
2020-09,Alberta,1.3
2020-09,Alberta,1.2
2020-09,Alberta,1.7
2020-09,Alberta,11.1
2020-09,Alberta,10.9
2020-09,Alberta,0.6
2020-09,Alberta,0.7
2020-09,Alberta,0.8
2020-09,Alberta,11.2
2020-09,Alberta,11.1
2020-09,Alberta,0.6
2020-09,Alberta,0.7
2020-09,Alberta,0.8
2020-09,Alberta,26.3
2020-09,Alberta,28.2
2020-09,Alberta,2.3
2020-09,Alberta,2.6
2020-09,Alberta,2.8
2020-09,Alberta,34.7
2020-09,Alberta,24.0
2020-09,Alberta,8.7
2020-09,Alberta,8.1
2020-09,Alberta,0.6
2020-09,Alberta,0.6
2020-09,Alberta,0.8
2020-09,Alberta,8.5
2020-09,Alberta,7.7
2020-09,Alberta,0.7
2020-09,Alberta,0.7
2020-09,Alberta,0.9
2020-09,Alberta,9.6
2020-09,Alberta,9.8
2020-09,Alberta,1.3
2020-09,Alberta,1.3
2020-09,Alberta,1.7
2020-10,Alberta,11.6
2020-10,Alberta,10.1
2020-10,Alberta,0.4
2020-10,Alberta,0.5
2020-10,Alberta,0.6
2020-10,Alberta,11.3
2020-10,Alberta,10.2
2020-10,Alberta,0.5
